occupations,pred_female,pred_male,female,male,binary,scale_score,pred_scale_score,pred_binary
adjunkt,33.56,66.44,70.7,"29,3",1,41.400000000000006,-32.879999999999995,0
advokat,29.38,70.62,48.1,"51,9",0,-3.799999999999997,-41.24,0
advokatassistent,50.0,50.0,85.9,"14,1",1,71.80000000000001,0.0,0
advokatsekretær,45.53,54.47,96.5,"3,5",1,93.0,-8.939999999999998,0
agronom,25.92,74.08,38.2,"61,8",0,-23.599999999999994,-48.16,0
aksjemegler,21.74,78.26,27.9,"72,1",0,-44.2,-56.52,0
aktivitør,33.83,66.17,66.2,"33,8",1,32.400000000000006,-32.34,0
aktuar,30.52,69.48,34.2,"65,8",0,-31.599999999999994,-38.96,0
allmennlege,38.19,61.81,33.8,"66,2",0,-32.400000000000006,-23.620000000000005,0
aluminiumskonstruktør,15.68,84.32,13.3,"86,7",0,-73.4,-68.64,0
ambulansearbeider,30.04,69.96,38.9,"61,1",0,-22.200000000000003,-39.92,0
animatør,25.81,74.19,17.6,"82,4",0,-64.8,-48.38,0
anleggsgartner,17.04,82.96,21.1,"78,9",0,-57.8,-65.92,0
anleggsmaskinfører,10.86,89.14,1.7,"98,3",0,-96.6,-78.28,0
anleggsmaskinmekaniker,9.45,90.55,1.4,"98,6",0,-97.2,-81.1,0
apoteker,36.68,63.32,66.8,"33,2",1,33.599999999999994,-26.64,0
apotektekniker,40.34,59.66,96.4,"3,6",1,92.80000000000001,-19.319999999999993,0
arbeidsmedisiner,31.41,68.59,60.9,"39,1",1,21.799999999999997,-37.18,0
arealplanlegger,24.44,75.56,58.3,"41,7",1,16.599999999999994,-51.12,0
arkeolog,24.97,75.03,59.8,"40,2",1,19.599999999999994,-50.06,0
arkitekt,27.52,72.48,49.9,"50,1",0,-0.20000000000000284,-44.96,0
arkivar,28.73,71.27,71.9,"28,1",1,43.80000000000001,-42.54,0
arrangementsplanlegger,23.93,76.07,48.9,"51,1",0,-2.200000000000003,-52.14,0
art director,25.67,74.33,44.9,"55,1",0,-10.200000000000003,-48.66,0
asfaltør,21.41,78.59,9.4,"90,6",0,-81.2,-57.18,0
attføringskonsulent,32.16,67.84,71.2,"28,8",1,42.400000000000006,-35.68000000000001,0
audiograf,37.21,62.79,69.9,"30,1",1,39.80000000000001,-25.58,0
automasjonsingeniør,19.91,80.09,14,86,0,-72.0,-60.18,0
automatiker,22.18,77.82,5.3,"94,7",0,-89.4,-55.64,0
avioniker,18.12,81.88,5,95,0,-90.0,-63.76,0
avisbud,30.51,69.49,24.6,"75,4",0,-50.8,-38.98,0
avløser,40.6,59.4,31.2,"68,8",0,-37.6,-18.799999999999997,0
badevakt,20.72,79.28,50.8,"49,2",1,1.5999999999999943,-58.56,0
baker,36.65,63.35,40.2,"59,8",0,-19.599999999999994,-26.700000000000003,0
banemontør,17.55,82.45,4.6,"95,4",0,-90.8,-64.9,0
barista,26.87,73.13,77.3,"22,7",1,54.599999999999994,-46.26,0
barne- og ungdomsarbeider,35.26,64.74,82.1,"17,9",1,64.19999999999999,-29.480000000000004,0
barnehageassistent,34.02,65.98,84.8,"15,2",1,69.6,-31.959999999999994,0
barnehagelærer,32.77,67.23,91.1,"8,9",1,82.19999999999999,-34.459999999999994,0
barnehagestyrer,31.49,68.51,90,10,1,80.0,-37.02,0
barnevernspedagog,38.42,61.58,86.1,"13,9",1,72.19999999999999,-23.159999999999997,0
bartender,18.82,81.18,53.3,"46,7",1,6.599999999999994,-62.36,0
båtbygger,25.23,74.77,6,94,0,-88.0,-49.54,0
betongfagarbeider,21.61,78.39,1.2,"98,8",0,-97.6,-56.78,0
bibliotekar,33.41,66.59,80.7,"19,3",1,61.400000000000006,-33.18000000000001,0
bilberger,22.85,77.15,1.5,"98,5",0,-97.0,-54.3,0
bilklargjører,20.72,79.28,18.7,"81,3",0,-62.6,-58.56,0
billakkerer,22.66,77.34,6.9,"93,1",0,-86.2,-54.68,0
bilmekaniker,19.32,80.68,1.15,"98,85",0,-97.7,-61.36,0
bilselger,23.66,76.34,4.9,"95,1",0,-90.2,-52.68,0
bilskadereparatør,12.13,87.87,1.6,"98,4",0,-96.8,-75.74,0
bioingeniør,37.41,62.59,83.5,"16,5",1,67.0,-25.180000000000007,0
biokjemiker,27.15,72.85,48.8,"51,2",0,-2.4000000000000057,-45.7,0
biolog,30.72,69.28,45.6,"54,4",0,-8.799999999999997,-38.56,0
blikkenslager,22.63,77.37,1.3,"98,7",0,-97.4,-54.74,0
blomsterdekoratør,33.54,66.46,95.9,"4,1",1,91.80000000000001,-32.92,0
bokbinder,28.84,71.16,31,69,0,-38.0,-42.32,0
bokhandler,35.44,64.56,81.9,"18,1",1,63.80000000000001,-29.120000000000005,0
bonde,24.0,76.0,29.7,"70,3",0,-40.6,-52.0,0
bore- og vedlikeholdsoperatør,13.85,86.15,8.2,"91,8",0,-83.6,-72.3,0
branningeniør,17.53,82.47,9.7,"90,3",0,-80.6,-64.94,0
brannkonstabel,11.18,88.82,4.5,"95,5",0,-91.0,-77.64,0
brønnoperatør,12.66,87.34,3.1,"96,9",0,-93.8,-74.68,0
brønnoperatør havbunnsinstallasjoner,15.18,84.82,2.8,"97,2",0,-94.4,-69.64,0
bunadtilvirker,35.77,64.23,91.4,"8,6",1,82.80000000000001,-28.459999999999994,0
bussjåfør,30.69,69.31,7.1,"92,9",0,-85.8,-38.62,0
butikkmedarbeider,33.47,66.53,63.2,"36,8",1,26.400000000000006,-33.06,0
butikksjef,27.71,72.29,46.2,"53,8",0,-7.599999999999994,-44.58,0
butikkslakter,26.84,73.16,39,61,0,-22.0,-46.32,0
byggdrifter vaktmester,14.34,85.66,8.8,"91,2",0,-82.4,-71.32,0
byggingeniør,22.32,77.68,18.3,"81,7",0,-63.4,-55.36,0
chassispåbygger,11.92,88.08,0.7,"99,3",0,-98.6,-76.16,0
cnc-operatør,16.83,83.17,10.1,"89,9",0,-79.8,-66.34,0
dansepedagog,32.39,67.61,85.7,"14,3",1,71.4,-35.22,0
danser,38.56,61.44,61.7,"38,3",1,23.400000000000006,-22.879999999999995,0
dataelektroniker,18.5,81.5,9.1,"90,9",0,-81.8,-63.0,0
dataingeniør,18.83,81.17,18.1,"81,9",0,-63.8,-62.34,0
diakon,41.93,58.07,82.2,"17,8",1,64.4,-16.14,0
diakonimedarbeider,40.88,59.12,73.8,"26,2",1,47.599999999999994,-18.239999999999995,0
diplomat,27.91,72.09,53.3,"46,7",1,6.599999999999994,-44.18,0
dirigent,31.56,68.44,47,53,0,-6.0,-36.88,0
dommer,25.43,74.57,45.7,"54,3",0,-8.599999999999994,-49.14,0
driftsoperatør i idrettsanlegg,24.05,75.95,16.1,"83,9",0,-67.8,-51.9,0
driftstekniker,19.45,80.55,13.9,"86,1",0,-72.2,-61.1,0
dykker,21.68,78.32,1.6,"98,4",0,-96.8,-56.64,0
dyrepasser,32.34,67.66,79.2,"20,8",1,58.400000000000006,-35.31999999999999,0
dyrepleier,38.57,61.43,92.8,"7,2",1,85.6,-22.86,0
eiendomsmegler,25.89,74.11,34.6,"65,4",0,-30.799999999999997,-48.22,0
elektriker,20.09,79.91,2.5,"97,5",0,-95.0,-59.82,0
elektroingeniør,21.23,78.77,10.3,"89,7",0,-79.4,-57.54,0
elektroreparatør,12.55,87.45,6.8,"93,2",0,-86.4,-74.9,0
energimontør,15.26,84.74,2.8,"97,2",0,-94.4,-69.48,0
energioperatør,14.58,85.42,5.6,"94,4",0,-88.8,-70.84,0
ergoterapeut,36.36,63.64,89.8,"10,2",1,79.6,-27.28,0
fagarbeider industriell matproduksjon,34.23,65.77,36.1,"63,9",0,-27.799999999999997,-31.540000000000006,0
fagarbeider sjømatproduksjon,30.84,69.16,36.2,"63,8",0,-27.599999999999994,-38.32,0
faglærer,33.59,66.41,50.1,"49,9",1,0.20000000000000284,-32.81999999999999,0
"fagoperatør i farging, trykking og etterbehandling",25.07,74.93,55.8,"44,2",1,11.599999999999994,-49.86,0
fagoperatør i fiskeredskapsfaget,29.88,70.12,39,61,0,-22.0,-40.24,0
