occupations,pred_female,pred_male,female,male,binary,scale_score,pred_scale_score,pred_binary
adjunkt,60.88,39.12,70.7,"29,3",1,41.400000000000006,21.760000000000005,1
advokat,48.52,51.48,48.1,"51,9",0,-3.799999999999997,-2.9599999999999937,0
advokatassistent,63.39,36.61,85.9,"14,1",1,71.80000000000001,26.78,1
advokatsekretær,68.34,31.66,96.5,"3,5",1,93.0,36.68000000000001,1
agronom,53.94,46.06,38.2,"61,8",0,-23.599999999999994,7.8799999999999955,1
aksjemegler,49.51,50.49,27.9,"72,1",0,-44.2,-0.980000000000004,0
aktivitør,63.24,36.76,66.2,"33,8",1,32.400000000000006,26.480000000000004,1
aktuar,41.24,58.76,34.2,"65,8",0,-31.599999999999994,-17.519999999999996,0
allmennlege,50.23,49.77,33.8,"66,2",0,-32.400000000000006,0.45999999999999375,1
aluminiumskonstruktør,36.82,63.18,13.3,"86,7",0,-73.4,-26.36,0
ambulansearbeider,64.31,35.69,38.9,"61,1",0,-22.200000000000003,28.620000000000005,1
animatør,57.95,42.05,17.6,"82,4",0,-64.8,15.900000000000006,1
anleggsgartner,42.12,57.88,21.1,"78,9",0,-57.8,-15.760000000000005,0
anleggsmaskinfører,43.5,56.5,1.7,"98,3",0,-96.6,-13.0,0
anleggsmaskinmekaniker,44.93,55.07,1.4,"98,6",0,-97.2,-10.14,0
apoteker,68.17,31.83,66.8,"33,2",1,33.599999999999994,36.34,1
apotektekniker,75.6,24.4,96.4,"3,6",1,92.80000000000001,51.19999999999999,1
arbeidsmedisiner,54.55,45.45,60.9,"39,1",1,21.799999999999997,9.099999999999994,1
arealplanlegger,56.74,43.26,58.3,"41,7",1,16.599999999999994,13.480000000000004,1
arkeolog,61.72,38.28,59.8,"40,2",1,19.599999999999994,23.439999999999998,1
arkitekt,70.28,29.72,49.9,"50,1",0,-0.20000000000000284,40.56,1
arkivar,58.9,41.1,71.9,"28,1",1,43.80000000000001,17.799999999999997,1
arrangementsplanlegger,72.21,27.79,48.9,"51,1",0,-2.200000000000003,44.41999999999999,1
art director,51.95,48.05,44.9,"55,1",0,-10.200000000000003,3.9000000000000057,1
asfaltør,42.19,57.81,9.4,"90,6",0,-81.2,-15.620000000000005,0
attføringskonsulent,49.99,50.01,71.2,"28,8",1,42.400000000000006,-0.01999999999999602,0
audiograf,75.86,24.14,69.9,"30,1",1,39.80000000000001,51.72,1
automasjonsingeniør,48.5,51.5,14,86,0,-72.0,-3.0,0
automatiker,42.91,57.09,5.3,"94,7",0,-89.4,-14.180000000000007,0
avioniker,48.23,51.77,5,95,0,-90.0,-3.5400000000000063,0
avisbud,43.13,56.87,24.6,"75,4",0,-50.8,-13.739999999999995,0
avløser,50.88,49.12,31.2,"68,8",0,-37.6,1.7600000000000051,1
badevakt,56.45,43.55,50.8,"49,2",1,1.5999999999999943,12.900000000000006,1
baker,65.1,34.9,40.2,"59,8",0,-19.599999999999994,30.19999999999999,1
banemontør,46.53,53.47,4.6,"95,4",0,-90.8,-6.939999999999998,0
barista,64.37,35.63,77.3,"22,7",1,54.599999999999994,28.74000000000001,1
barne- og ungdomsarbeider,57.14,42.86,82.1,"17,9",1,64.19999999999999,14.280000000000001,1
barnehageassistent,63.82,36.18,84.8,"15,2",1,69.6,27.64,1
barnehagelærer,68.82,31.18,91.1,"8,9",1,82.19999999999999,37.639999999999986,1
barnehagestyrer,67.51,32.49,90,10,1,80.0,35.02000000000001,1
barnevernspedagog,68.85,31.15,86.1,"13,9",1,72.19999999999999,37.69999999999999,1
bartender,57.44,42.56,53.3,"46,7",1,6.599999999999994,14.879999999999995,1
båtbygger,58.73,41.27,6,94,0,-88.0,17.459999999999994,1
betongfagarbeider,48.45,51.55,1.2,"98,8",0,-97.6,-3.0999999999999943,0
bibliotekar,74.97,25.03,80.7,"19,3",1,61.400000000000006,49.94,1
bilberger,41.89,58.11,1.5,"98,5",0,-97.0,-16.22,0
bilklargjører,53.36,46.64,18.7,"81,3",0,-62.6,6.719999999999999,1
billakkerer,60.01,39.99,6.9,"93,1",0,-86.2,20.019999999999996,1
bilmekaniker,57.87,42.13,1.15,"98,85",0,-97.7,15.739999999999995,1
bilselger,57.37,42.63,4.9,"95,1",0,-90.2,14.739999999999995,1
bilskadereparatør,42.51,57.49,1.6,"98,4",0,-96.8,-14.980000000000004,0
bioingeniør,63.22,36.78,83.5,"16,5",1,67.0,26.439999999999998,1
biokjemiker,60.1,39.9,48.8,"51,2",0,-2.4000000000000057,20.200000000000003,1
biolog,69.38,30.62,45.6,"54,4",0,-8.799999999999997,38.75999999999999,1
blikkenslager,52.78,47.22,1.3,"98,7",0,-97.4,5.560000000000002,1
blomsterdekoratør,74.94,25.06,95.9,"4,1",1,91.80000000000001,49.879999999999995,1
bokbinder,45.79,54.21,31,69,0,-38.0,-8.420000000000002,0
bokhandler,56.25,43.75,81.9,"18,1",1,63.80000000000001,12.5,1
bonde,32.86,67.14,29.7,"70,3",0,-40.6,-34.28,0
bore- og vedlikeholdsoperatør,33.01,66.99,8.2,"91,8",0,-83.6,-33.980000000000004,0
branningeniør,47.49,52.51,9.7,"90,3",0,-80.6,-5.019999999999996,0
brannkonstabel,40.27,59.73,4.5,"95,5",0,-91.0,-19.459999999999994,0
brønnoperatør,39.95,60.05,3.1,"96,9",0,-93.8,-20.099999999999994,0
brønnoperatør havbunnsinstallasjoner,41.89,58.11,2.8,"97,2",0,-94.4,-16.22,0
bunadtilvirker,83.91,16.09,91.4,"8,6",1,82.80000000000001,67.82,1
bussjåfør,60.01,39.99,7.1,"92,9",0,-85.8,20.019999999999996,1
butikkmedarbeider,65.03,34.97,63.2,"36,8",1,26.400000000000006,30.060000000000002,1
butikksjef,63.79,36.21,46.2,"53,8",0,-7.599999999999994,27.58,1
butikkslakter,65.39,34.61,39,61,0,-22.0,30.78,1
