occupations,pred_female,pred_male,female,male,binary,scale_score,pred_scale_score,pred_binary
adjunkt,26.01,73.99,70.7,"29,3",1,41.400000000000006,-47.98,0
advokat,23.18,76.82,48.1,"51,9",0,-3.799999999999997,-53.64,0
advokatassistent,21.42,78.58,85.9,"14,1",1,71.80000000000001,-57.16,0
advokatsekretær,22.42,77.58,96.5,"3,5",1,93.0,-55.16,0
agronom,19.44,80.56,38.2,"61,8",0,-23.599999999999994,-61.12,0
aksjemegler,26.27,73.73,27.9,"72,1",0,-44.2,-47.46,0
aktivitør,17.08,82.92,66.2,"33,8",1,32.400000000000006,-65.84,0
aktuar,24.76,75.24,34.2,"65,8",0,-31.599999999999994,-50.48,0
allmennlege,23.05,76.95,33.8,"66,2",0,-32.400000000000006,-53.9,0
aluminiumskonstruktør,24.59,75.41,13.3,"86,7",0,-73.4,-50.82,0
ambulansearbeider,14.91,85.09,38.9,"61,1",0,-22.200000000000003,-70.18,0
animatør,24.01,75.99,17.6,"82,4",0,-64.8,-51.98,0
anleggsgartner,18.46,81.54,21.1,"78,9",0,-57.8,-63.08,0
anleggsmaskinfører,22.98,77.02,1.7,"98,3",0,-96.6,-54.04,0
anleggsmaskinmekaniker,21.48,78.52,1.4,"98,6",0,-97.2,-57.04,0
apoteker,19.55,80.45,66.8,"33,2",1,33.599999999999994,-60.9,0
apotektekniker,17.35,82.65,96.4,"3,6",1,92.80000000000001,-65.3,0
arbeidsmedisiner,22.35,77.65,60.9,"39,1",1,21.799999999999997,-55.3,0
arealplanlegger,26.74,73.26,58.3,"41,7",1,16.599999999999994,-46.52,0
arkeolog,25.21,74.79,59.8,"40,2",1,19.599999999999994,-49.58,0
arkitekt,29.12,70.88,49.9,"50,1",0,-0.20000000000000284,-41.76,0
arkivar,21.57,78.43,71.9,"28,1",1,43.80000000000001,-56.86,0
arrangementsplanlegger,29.66,70.34,48.9,"51,1",0,-2.200000000000003,-40.68,0
art director,27.76,72.24,44.9,"55,1",0,-10.200000000000003,-44.48,0
asfaltør,16.92,83.08,9.4,"90,6",0,-81.2,-66.16,0
attføringskonsulent,21.84,78.16,71.2,"28,8",1,42.400000000000006,-56.32,0
audiograf,24.33,75.67,69.9,"30,1",1,39.80000000000001,-51.34,0
automasjonsingeniør,20.82,79.18,14,86,0,-72.0,-58.36,0
automatiker,15.62,84.38,5.3,"94,7",0,-89.4,-68.76,0
avioniker,32.04,67.96,5,95,0,-90.0,-35.92,0
avisbud,21.04,78.96,24.6,"75,4",0,-50.8,-57.92,0
avløser,29.39,70.61,31.2,"68,8",0,-37.6,-41.22,0
badevakt,35.3,64.7,50.8,"49,2",1,1.5999999999999943,-29.400000000000006,0
baker,32.64,67.36,40.2,"59,8",0,-19.599999999999994,-34.72,0
banemontør,19.83,80.17,4.6,"95,4",0,-90.8,-60.34,0
barista,28.25,71.75,77.3,"22,7",1,54.599999999999994,-43.5,0
barne- og ungdomsarbeider,24.65,75.35,82.1,"17,9",1,64.19999999999999,-50.7,0
barnehageassistent,25.06,74.94,84.8,"15,2",1,69.6,-49.88,0
barnehagelærer,30.77,69.23,91.1,"8,9",1,82.19999999999999,-38.46,0
barnehagestyrer,26.01,73.99,90,10,1,80.0,-47.98,0
barnevernspedagog,25.24,74.76,86.1,"13,9",1,72.19999999999999,-49.52,0
bartender,26.93,73.07,53.3,"46,7",1,6.599999999999994,-46.14,0
båtbygger,20.98,79.02,6,94,0,-88.0,-58.04,0
betongfagarbeider,22.37,77.63,1.2,"98,8",0,-97.6,-55.26,0
bibliotekar,19.25,80.75,80.7,"19,3",1,61.400000000000006,-61.5,0
bilberger,23.1,76.9,1.5,"98,5",0,-97.0,-53.8,0
bilklargjører,19.46,80.54,18.7,"81,3",0,-62.6,-61.08,0
billakkerer,21.83,78.17,6.9,"93,1",0,-86.2,-56.34,0
bilmekaniker,20.0,80.0,1.15,"98,85",0,-97.7,-60.0,0
bilselger,14.56,85.44,4.9,"95,1",0,-90.2,-70.88,0
bilskadereparatør,22.0,78.0,1.6,"98,4",0,-96.8,-56.0,0
bioingeniør,17.56,82.44,83.5,"16,5",1,67.0,-64.88,0
biokjemiker,19.38,80.62,48.8,"51,2",0,-2.4000000000000057,-61.24,0
biolog,25.47,74.53,45.6,"54,4",0,-8.799999999999997,-49.06,0
blikkenslager,29.1,70.9,1.3,"98,7",0,-97.4,-41.8,0
blomsterdekoratør,24.2,75.8,95.9,"4,1",1,91.80000000000001,-51.6,0
bokbinder,26.27,73.73,31,69,0,-38.0,-47.46,0
bokhandler,27.0,73.0,81.9,"18,1",1,63.80000000000001,-46.0,0
bonde,21.11,78.89,29.7,"70,3",0,-40.6,-57.78,0
bore- og vedlikeholdsoperatør,23.23,76.77,8.2,"91,8",0,-83.6,-53.54,0
branningeniør,27.43,72.57,9.7,"90,3",0,-80.6,-45.14,0
brannkonstabel,22.91,77.09,4.5,"95,5",0,-91.0,-54.18,0
brønnoperatør,23.71,76.29,3.1,"96,9",0,-93.8,-52.58,0
brønnoperatør havbunnsinstallasjoner,20.99,79.01,2.8,"97,2",0,-94.4,-58.02,0
bunadtilvirker,25.44,74.56,91.4,"8,6",1,82.80000000000001,-49.12,0
bussjåfør,23.59,76.41,7.1,"92,9",0,-85.8,-52.82,0
butikkmedarbeider,22.72,77.28,63.2,"36,8",1,26.400000000000006,-54.56,0
butikksjef,22.48,77.52,46.2,"53,8",0,-7.599999999999994,-55.04,0
butikkslakter,25.42,74.58,39,61,0,-22.0,-49.16,0
byggdrifter vaktmester,22.5,77.5,8.8,"91,2",0,-82.4,-55.0,0
byggingeniør,30.01,69.99,18.3,"81,7",0,-63.4,-39.98,0
chassispåbygger,22.64,77.36,0.7,"99,3",0,-98.6,-54.72,0
cnc-operatør,23.25,76.75,10.1,"89,9",0,-79.8,-53.5,0
