occupations;female;male;total;binary
Adjunkt;70,7;29,3;100;1
Advokat;48,1;51,9;100;0
Advokatassistent;85,9;14,1;100;1
Advokatsekretær;96,5;3,5;100;1
Agronom;38,2;61,8;100;0
Aksjemegler;27,9;72,1;100;0
Aktivitør;66,2;33,8;100;1
Aktuar;34,2;65,8;100;0
Allmennlege;33,8;66,2;100;0
Aluminiumskonstruktør;13,3;86,7;100;0
Ambulansearbeider;38,9;61,1;100;0
Animatør;17,6;82,4;100;0
Anleggsgartner;21,1;78,9;100;0
Anleggsmaskinfører;1,7;98,3;100;0
Anleggsmaskinmekaniker;1,4;98,6;100;0
Apoteker;66,8;33,2;100;1
Apotektekniker;96,4;3,6;100;1
Arbeidsmedisiner;60,9;39,1;100;1
Arealplanlegger;58,3;41,7;100;1
Arkeolog;59,8;40,2;100;1
Arkitekt;49,9;50,1;100;0
Arkivar;71,9;28,1;100;1
Arrangementsplanlegger;48,9;51,1;100;0
Art director;44,9;55,1;100;0
Asfaltør;9,4;90,6;100;0
Attføringskonsulent;71,2;28,8;100;1
Audiograf;69,9;30,1;100;1
Automasjonsingeniør;14;86;100;0
Automatiker;5,3;94,7;100;0
Avioniker;5;95;100;0
Avisbud;24,6;75,4;100;0
Avløser;31,2;68,8;100;0
Badevakt;50,8;49,2;100;1
Baker;40,2;59,8;100;0
Banemontør;4,6;95,4;100;0
Barista;77,3;22,7;100;1
Barne- og ungdomsarbeider;82,1;17,9;100;1
Barnehageassistent;84,8;15,2;100;1
Barnehagelærer;91,1;8,9;100;1
Barnehagestyrer;90;10;100;1
Barnevernspedagog;86,1;13,9;100;1
Bartender;53,3;46,7;100;1
Båtbygger;6;94;100;0
Betongfagarbeider;1,2;98,8;100;0
Bibliotekar;80,7;19,3;100;1
Bilberger;1,5;98,5;100;0
Bilklargjører;18,7;81,3;100;0
Billakkerer;6,9;93,1;100;0
Bilmekaniker;1,15;98,85;100;0
Bilselger;4,9;95,1;100;0
Bilskadereparatør;1,6;98,4;100;0
Bioingeniør;83,5;16,5;100;1
Biokjemiker;48,8;51,2;100;0
Biolog;45,6;54,4;100;0
Blikkenslager;1,3;98,7;100;0
Blomsterdekoratør;95,9;4,1;100;1
Bokbinder;31;69;100;0
Bokhandler;81,9;18,1;100;1
Bonde;29,7;70,3;100;0
Bore- og vedlikeholdsoperatør;8,2;91,8;100;0
Branningeniør;9,7;90,3;100;0
Brannkonstabel;4,5;95,5;100;0
Brønnoperatør;3,1;96,9;100;0
Brønnoperatør havbunnsinstallasjoner;2,8;97,2;100;0
Bunadtilvirker;91,4;8,6;100;1
Bussjåfør;7,1;92,9;100;0
Butikkmedarbeider;63,2;36,8;100;1
Butikksjef;46,2;53,8;100;0
Butikkslakter;39;61;100;0
Byggdrifter vaktmester;8,8;91,2;100;0
Byggingeniør;18,3;81,7;100;0
Chassispåbygger;0,7;99,3;100;0
CNC-operatør;10,1;89,9;100;0
Dansepedagog;85,7;14,3;100;1
Danser;61,7;38,3;100;1
Dataelektroniker;9,1;90,9;100;0
Dataingeniør;18,1;81,9;100;0
Diakon;82,2;17,8;100;1
Diakonimedarbeider;73,8;26,2;100;1
Diplomat;53,3;46,7;100;1
Dirigent;47;53;100;0
